Sr. No.,HMR,Remarks,
224,160519.5,drag_chain,
225,160631.5,drag_chain,
226,161114,drag_chain,
227,161419,drag_chain,
228,161923,drag_chain,
229,162104.5,drag_chain,
230,162185,drag_chain,
231,162457.5,drag_chain,
232,163175.5,drag_rope_out,
233,163682.5,drag_rope_out,
234,163689.5,drag_rope_out,
235,164258.5,drag_rope_out,
236,164361.5,drag_rope_out,
237,164575.5,drag_rope_out,
238,165060,drag_rope_out,
239,165075,drag_rope_out,
240,165085,drag_rope_out,
241,165461,drag_rope_out,
242,165496.5,drag_rope_out,
243,165810.5,drag_rope_out,
244,165889,drag_rope_out,
245,166296.5,drag_rope_out,
246,166420,drag_rope_out,
247,167592.5,drag_rope_out,
248,168476,drag_rope_out,
249,168779.5,drag_rope_out,
250,168843.5,drag_rope_out,
251,169579,drag_rope_out,
252,169216,drag walk problem,
253,169294.5,drag chain problem,
254,169531.5,drag chain link broken,
255,170044.5,drag_rope_out,
256,170180,drag rope out from pulley,
257,170263.5,drag drum drive break,
258,170643,drag chain,
259,171110,drag socket pin lock broken,drag_rope_out
260,171173.5,drag_rope_out,
261,171707.5,drag_rope_out,
262,172857,drag_rope_out,
263,172902.5,drag_rope_out,
264,172954.5,drag_rope_out,
265,172971,drag_rope_out,
266,173720.5,drag_rope_out,
267,173880.5,drag_rope_out,
268,173990,drag_rope_out,
269,174073.5,drag_rope_out,
270,174407,drag_rope_out,
