Sr. No.,HMR,Remarks
179,149443.5,drum_pulley_pinout
180,149734.5,drum_pulley_pinout
181,149748,drum_pulley_pinout
182,150407,drum_pulley_pinout
183,150662,drum_pulley_pinout
184,150959,drum_pulley_pinout
185,152245,drum_pulley_pinout
186,152299.5,drum_pulley_pinout
187,152358.5,drum_pulley_pinout
188,152628,drum_pulley_pinout
189,152729,drum_pulley_pinout
190,152881.5,drum_pulley_pinout
191,153547,drum_pulley_pinout
192,153822.5,drum_pulley_pinout
193,153930.5,drum_pulley_pinout
194,153975.5,drum_pulley_pinout
195,154010.5,drum_pulley_pinout
196,154139.5,drum_pulley_pinout
197,154200,drum_pulley_pinout
198,155020,drum_pulley_pinout
199,155387,drum_pulley_pinout
200,155581,drum_pulley_pinout
201,155692,drum_rope_slip
202,155942,drum_rope_slip
203,155993.5,drum_rope_slip
204,156416.5,drum_rope_slip
205,156430.5,drum_rope_slip
206,156448,drum_rope_slip
207,156719,drum_rope_slip
208,157129,drum_rope_slip
209,157179,drum_rope_slip
210,157232,drum_rope_slip
211,157350.5,drum_rope_slip
212,157490,drum_rope_slip
213,157692,drum_rope_slip
214,158014,drum_rope_slip
215,158046,drum_rope_slip
216,158201.5,drum_rope_slip
217,158474.5,drum_rope_slip
218,159129,drum_rope_slip
219,159310,drum_rope_slip
220,159387.1,drum_rope_slip
221,159456,drum_rope_slip
222,159603.5,drum_rope_slip
223,159982,drum_rope_slip
224,160115,drum_rope_slip
225,160187,drum_rope_slip
226,160673.5,drum_rope_slip
227,160963,drum_rope_slip
228,161676.5,drum_rope_slip
229,162017.5,drum_rope_slip
230,162029,drum_rope_slip
231,162457.5,drum_rope_slip
232,162467,drum_rope_slip
233,162732,drum_rope_slip
234,163281.5,drum_rope_slip
235,163388.5,drum_rope_slip
236,163920.5,drum_rope_slip
237,163989.5,drum_rope_slip
238,164275,drum_rope_slip
239,164750.5,drum_rope_slip
240,164886,drum_rope_slip
241,165043.5,drum_rope_slip
242,165341.5,drum_rope_slip
243,165412,drum_rope_slip
244,165514,drum_rope_slip
245,165871.5,drum_rope_slip
246,166005,drum_rope_slip
247,166214,drum_rope_slip
248,166349.5,drum_rope_slip
249,166579.5,drum_rope_slip
250,166916.5,drum_rope_slip
251,166965,drum_rope_slip
252,167288.5,drum_rope_slip
253,167932.5,drum_rope_slip
254,167947,drum_rope_slip
255,168656.5,drum_rope_slip
256,168826.5,drum_rope_slip
257,169170,drum_rope_slip
258,169514,drum_rope_slip
259,169720,drum_rope_slip
260,170031,drum_rope_slip
261,170232.5,drum_rope_slip
262,170931.5,drum_rope_slip
263,171458,drum_rope_slip
264,171628,drum_rope_slip
265,172028,drum_rope_slip
266,173073.5,drum_rope_slip
267,173482,drum_rope_slip
268,173880.5,drum_rope_slip
269,174194,drum_rope_slip
